ts,student_id
2024-03-15 08:12:34,s001
2024-03-15 08:45:10,s002
2024-03-15 09:03:22,s001
2024-03-15 09:17:55,s003
2024-03-15 09:58:01,s002
2024-03-15 10:22:44,s004
2024-03-15 10:33:11,s001
2024-03-15 11:05:30,s003
2024-03-15 11:44:59,s002
2024-03-15 12:00:05,s005
2024-03-15 12:31:17,s001
2024-03-15 13:10:42,s004
2024-03-15 13:55:28,s003
2024-03-15 14:02:16,s002
2024-03-15 14:48:33,s001
2024-03-15 15:20:09,s005
2024-03-15 15:41:52,s003
2024-03-15 16:07:38,s002
2024-03-15 16:29:14,s004
2024-03-15 17:03:47,s001
2024-03-16 09:10:00,s001
2024-03-16 10:30:00,s002
2024-03-16 11:15:00,s003
